round_id,phase,round_order,work_type,source_type,source_name,scope,status,target_products,expected_output,output_file,stop_condition,notes
catalog-round-010,phase_2_brand_catalog,10,brand_catalog_capture,brand,Panasonic Thailand,"wall mounted air conditioners",pending,30,"ยืนยันซีรีส์และ model official",docs/air-conditioner-market-catalog.csv,stop_after_brand_category,"brand source priority สูง"
catalog-round-011,phase_2_brand_catalog,11,brand_catalog_capture,brand,Carrier Thailand,"wall mounted air conditioners",pending,30,"ยืนยันซีรีส์และ model official",docs/air-conditioner-market-catalog.csv,stop_after_brand_category,"brand source priority สูง"
catalog-round-012,phase_2_brand_catalog,12,brand_catalog_capture,brand,Haier Thailand,"wall mounted air conditioners",pending,30,"ยืนยันซีรีส์และ model official",docs/air-conditioner-market-catalog.csv,stop_after_brand_category,"ช่วยแยก Haier และ CANDY"
catalog-round-013,phase_2_brand_catalog,13,brand_catalog_capture,brand,Midea Thailand,"wall mounted air conditioners",pending,30,"ยืนยันซีรีส์และ model official",docs/air-conditioner-market-catalog.csv,stop_after_brand_category,"ต่อยอด Celest/Numen/Tornado"
catalog-round-014,phase_2_brand_catalog,14,brand_catalog_capture,brand,LG Thailand,"wall mounted air conditioners",pending,30,"ยืนยันซีรีส์และ model official",docs/air-conditioner-market-catalog.csv,stop_after_brand_category,"LG มี source category พร้อม"
catalog-round-015,phase_2_brand_catalog,15,brand_catalog_capture,brand,Samsung Thailand,"wall mounted air conditioners",pending,25,"ยืนยันซีรีส์และ model official",docs/air-conditioner-market-catalog.csv,stop_after_brand_category,"ตรวจ WindFree/AI ถ้ามีขายในไทย"
catalog-round-016,phase_2_brand_catalog,16,brand_catalog_capture,brand,Sharp Thailand,"wall mounted air conditioners",pending,25,"ยืนยันซีรีส์และ model official",docs/air-conditioner-market-catalog.csv,stop_after_brand_category,"เพิ่มแบรนด์ญี่ปุ่นตลาดไทย"
catalog-round-017,phase_2_brand_catalog,17,brand_catalog_capture,brand,TCL Thailand,"wall mounted air conditioners",pending,20,"ยืนยันซีรีส์และ model official",docs/air-conditioner-market-catalog.csv,stop_after_brand_category,"ต่อยอด SaveIN AI"
catalog-round-018,phase_2_brand_catalog,18,brand_catalog_capture,brand,Hisense Thailand,"wall mounted air conditioners",pending,20,"ยืนยันซีรีส์และ model official",docs/air-conditioner-market-catalog.csv,stop_after_brand_category,"ตรวจ CE/DB"
catalog-round-019,phase_3_marketplace_match,19,marketplace_match,marketplace,Shopee,"top catalog products wave 1",planned_after_catalog,20,"จับคู่ Shopee เฉพาะรุ่นที่ catalog verified แล้ว",docs/air-conditioner-marketplace-match.csv,stop_if_shopee_verification,"ไม่ทำ search กว้าง ให้ค้นด้วย product key"
catalog-round-020,phase_3_marketplace_match,20,marketplace_match,marketplace,Lazada,"top catalog products wave 1",planned_after_catalog,20,"จับคู่ Lazada เฉพาะรุ่นที่ catalog verified แล้ว",docs/air-conditioner-marketplace-match.csv,stop_if_rate_limit,"ใช้เสริมเมื่อ Shopee เด้งหรือไม่มีรีวิว"
catalog-round-021,phase_3_marketplace_match,21,marketplace_match,marketplace,TikTok,"top catalog products wave 1",planned_after_catalog,20,"จับคู่ TikTok เฉพาะรุ่นที่ catalog verified แล้ว",docs/air-conditioner-marketplace-match.csv,stop_if_rate_limit,"ใช้เป็นช่องทาง affiliate เสริม"
